ticker,symbol,base_symbol,active
FIDAUSDT,FIDA,USDT,1
FRONTUSDT,FRONT,USDT,1
CVPUSDT,CVP,USDT,1
AGLDUSDT,AGLD,USDT,1
RADUSDT,RAD,USDT,1
BETAUSDT,BETA,USDT,1
RAREUSDT,RARE,USDT,1
LAZIOUSDT,LAZIO,USDT,1
CHESSUSDT,CHESS,USDT,1
ADXUSDT,ADX,USDT,1
AUCTIONUSDT,AUCTION,USDT,1
DARUSDT,DAR,USDT,1
BNXUSDT,BNX,USDT,1
RGTUSDT,RGT,USDT,1
MOVRUSDT,MOVR,USDT,1
CITYUSDT,CITY,USDT,1
ENSUSDT,ENS,USDT,1
KP3RUSDT,KP3R,USDT,1
QIUSDT,QI,USDT,1
PORTOUSDT,PORTO,USDT,1
POWRUSDT,POWR,USDT,1
VGXUSDT,VGX,USDT,1
JASMYUSDT,JASMY,USDT,1
AMPUSDT,AMP,USDT,1
PLAUSDT,PLA,USDT,1
PYRUSDT,PYR,USDT,1
RNDRUSDT,RNDR,USDT,1
ALCXUSDT,ALCX,USDT,1
SANTOSUSDT,SANTOS,USDT,1
MCUSDT,MC,USDT,1
ANYUSDT,ANY,USDT,1
BICOUSDT,BICO,USDT,1
FLUXUSDT,FLUX,USDT,1
FXSUSDT,FXS,USDT,1
VOXELUSDT,VOXEL,USDT,1
HIGHUSDT,HIGH,USDT,1
CVXUSDT,CVX,USDT,1
PEOPLEUSDT,PEOPLE,USDT,1
OOKIUSDT,OOKI,USDT,1
SPELLUSDT,SPELL,USDT,1
USTUSDT,UST,USDT,1
JOEUSDT,JOE,USDT,1
ACHUSDT,ACH,USDT,1
IMXUSDT,IMX,USDT,1
GLMRUSDT,GLMR,USDT,1
LOKAUSDT,LOKA,USDT,1
SCRTUSDT,SCRT,USDT,1
API3USDT,API3,USDT,1
BTTCUSDT,BTTC,USDT,1
ACAUSDT,ACA,USDT,1
ANCUSDT,ANC,USDT,1
XNOUSDT,XNO,USDT,1
WOOUSDT,WOO,USDT,1
ALPINEUSDT,ALPINE,USDT,1
TUSDT,T,USDT,1
ASTRUSDT,ASTR,USDT,1
GMTUSDT,GMT,USDT,1
KDAUSDT,KDA,USDT,1
APEUSDT,APE,USDT,1
BSWUSDT,BSW,USDT,1
BIFIUSDT,BIFI,USDT,1
MULTIUSDT,MULTI,USDT,1
STEEMUSDT,STEEM,USDT,1
MOBUSDT,MOB,USDT,1
NEXOUSDT,NEXO,USDT,1
REIUSDT,REI,USDT,1
GALUSDT,GAL,USDT,1
LDOUSDT,LDO,USDT,1
EPXUSDT,EPX,USDT,1
OPUSDT,OP,USDT,1
LEVERUSDT,LEVER,USDT,1
STGUSDT,STG,USDT,1
LUNCUSDT,LUNC,USDT,1
GMXUSDT,GMX,USDT,1
NEBLUSDT,NEBL,USDT,1
POLYXUSDT,POLYX,USDT,1
APTUSDT,APT,USDT,1
OSMOUSDT,OSMO,USDT,1
HFTUSDT,HFT,USDT,1
PHBUSDT,PHB,USDT,1
HOOKUSDT,HOOK,USDT,1
MAGICUSDT,MAGIC,USDT,1
HIFIUSDT,HIFI,USDT,1
RPLUSDT,RPL,USDT,1
PROSUSDT,PROS,USDT,1
AGIXUSDT,AGIX,USDT,1
GNSUSDT,GNS,USDT,1
SYNUSDT,SYN,USDT,1
VIBUSDT,VIB,USDT,1
SSVUSDT,SSV,USDT,1
LQTYUSDT,LQTY,USDT,1
AMBUSDT,AMB,USDT,1
BETHUSDT,BETH,USDT,1
USTCUSDT,USTC,USDT,1
GASUSDT,GAS,USDT,1
GLMUSDT,GLM,USDT,1
PROMUSDT,PROM,USDT,1
QKCUSDT,QKC,USDT,1
UFTUSDT,UFT,USDT,1
IDUSDT,ID,USDT,1
ARBUSDT,ARB,USDT,1
LOOMUSDT,LOOM,USDT,1
OAXUSDT,OAX,USDT,1
RDNTUSDT,RDNT,USDT,1
WBTCUSDT,WBTC,USDT,1
EDUUSDT,EDU,USDT,1
SUIUSDT,SUI,USDT,1
AERGOUSDT,AERGO,USDT,1
PEPEUSDT,PEPE,USDT,1
FLOKIUSDT,FLOKI,USDT,1
ASTUSDT,AST,USDT,1
SNTUSDT,SNT,USDT,1
COMBOUSDT,COMBO,USDT,1
MAVUSDT,MAV,USDT,1
PENDLEUSDT,PENDLE,USDT,1
ARKMUSDT,ARKM,USDT,1
WBETHUSDT,WBETH,USDT,1
WLDUSDT,WLD,USDT,1
FDUSDUSDT,FDUSD,USDT,1
SEIUSDT,SEI,USDT,1
CYBERUSDT,CYBER,USDT,1
ARKUSDT,ARK,USDT,1
CREAMUSDT,CREAM,USDT,1
GFTUSDT,GFT,USDT,1
IQUSDT,IQ,USDT,1
NTRNUSDT,NTRN,USDT,1
TIAUSDT,TIA,USDT,1
MEMEUSDT,MEME,USDT,1
ORDIUSDT,ORDI,USDT,1
BEAMXUSDT,BEAMX,USDT,1
PIVXUSDT,PIVX,USDT,1
VICUSDT,VIC,USDT,1
BLURUSDT,BLUR,USDT,1
VANRYUSDT,VANRY,USDT,1
AEURUSDT,AEUR,USDT,1
JTOUSDT,JTO,USDT,1
1000SATSUSDT,1000SATS,USDT,1
BONKUSDT,BONK,USDT,1
ACEUSDT,ACE,USDT,1
NFPUSDT,NFP,USDT,1
AIUSDT,AI,USDT,1
XAIUSDT,XAI,USDT,1
MANTAUSDT,MANTA,USDT,1
ALTUSDT,ALT,USDT,1
JUPUSDT,JUP,USDT,1
PYTHUSDT,PYTH,USDT,1
RONINUSDT,RONIN,USDT,1
DYMUSDT,DYM,USDT,1
PIXELUSDT,PIXEL,USDT,1
STRKUSDT,STRK,USDT,1
PORTALUSDT,PORTAL,USDT,1
PDAUSDT,PDA,USDT,1
AXLUSDT,AXL,USDT,1
