ticker,symbol,base_symbol,active
ANYBTC,ANY,BTC,0
BICOBTC,BICO,BTC,1
FLUXBTC,FLUX,BTC,1
VOXELBTC,VOXEL,BTC,1
HIGHBTC,HIGH,BTC,1
CVXBTC,CVX,BTC,0
PEOPLEBTC,PEOPLE,BTC,1
SPELLBTC,SPELL,BTC,0
USTBTC,UST,BTC,0
JOEBTC,JOE,BTC,1
ACHBTC,ACH,BTC,1
IMXBTC,IMX,BTC,1
GLMRBTC,GLMR,BTC,1
LOKABTC,LOKA,BTC,1
API3BTC,API3,BTC,1
ACABTC,ACA,BTC,1
ANCBTC,ANC,BTC,0
XNOBTC,XNO,BTC,1
WOOBTC,WOO,BTC,1
ALPINEBTC,ALPINE,BTC,1
GMTBTC,GMT,BTC,1
KDABTC,KDA,BTC,1
APEBTC,APE,BTC,1
MULTIBTC,MULTI,BTC,0
ASTRBTC,ASTR,BTC,1
MOBBTC,MOB,BTC,1
NEXOBTC,NEXO,BTC,1
GALBTC,GAL,BTC,1
LDOBTC,LDO,BTC,1
OPBTC,OP,BTC,1
STGBTC,STG,BTC,1
GMXBTC,GMX,BTC,1
POLYXBTC,POLYX,BTC,1
APTBTC,APT,BTC,1
OSMOBTC,OSMO,BTC,1
HFTBTC,HFT,BTC,1
HOOKBTC,HOOK,BTC,1
MAGICBTC,MAGIC,BTC,1
RPLBTC,RPL,BTC,0
GNSBTC,GNS,BTC,1
SYNBTC,SYN,BTC,1
LQTYBTC,LQTY,BTC,1
IDBTC,ID,BTC,1
ARBBTC,ARB,BTC,1
RDNTBTC,RDNT,BTC,1
EDUBTC,EDU,BTC,1
SUIBTC,SUI,BTC,1
MAVBTC,MAV,BTC,1
PENDLEBTC,PENDLE,BTC,1
ARKMBTC,ARKM,BTC,1
WLDBTC,WLD,BTC,1
SEIBTC,SEI,BTC,1
CYBERBTC,CYBER,BTC,1
NTRNBTC,NTRN,BTC,1
TIABTC,TIA,BTC,1
ORDIBTC,ORDI,BTC,1
VICBTC,VIC,BTC,1
BLURBTC,BLUR,BTC,1
VANRYBTC,VANRY,BTC,1
ACEBTC,ACE,BTC,1
NFPBTC,NFP,BTC,1
AIBTC,AI,BTC,1
XAIBTC,XAI,BTC,1
MANTABTC,MANTA,BTC,1
ALTBTC,ALT,BTC,1
PYTHBTC,PYTH,BTC,1
RONINBTC,RONIN,BTC,1
DYMBTC,DYM,BTC,1
PIXELBTC,PIXEL,BTC,1
STRKBTC,STRK,BTC,1
PORTALBTC,PORTAL,BTC,1
PDABTC,PDA,BTC,1
AXLBTC,AXL,BTC,1
